id,display_name,category_id,category_name,rarity,rarity_name,sale_price,placeholder
cat_plush_001,"치즈냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_002,"치즈냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_003,"치즈냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_004,"치즈냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_005,"치즈냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_006,"까망냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_007,"까망냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_008,"까망냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_009,"까망냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_010,"까망냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_011,"하양냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_012,"하양냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_013,"하양냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_014,"하양냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_015,"하양냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_016,"회색냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_017,"회색냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_018,"회색냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_019,"회색냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_020,"회색냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_021,"삼색냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_022,"삼색냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_023,"삼색냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_024,"삼색냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_025,"삼색냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_026,"턱시도냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_027,"턱시도냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_028,"턱시도냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_029,"턱시도냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_030,"턱시도냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_031,"샴냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_032,"샴냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_033,"샴냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_034,"샴냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_035,"샴냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_036,"블루냥 앉은 인형",cat_plush,"고양이 인형",Uncommon,고급,280,true
cat_plush_037,"블루냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_038,"블루냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_039,"블루냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_040,"블루냥 기지개 인형",cat_plush,"고양이 인형",Rare,희귀,480,true
cat_plush_041,"줄무늬냥 앉은 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_042,"줄무늬냥 잠자는 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_043,"줄무늬냥 식빵 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_044,"줄무늬냥 벌러덩 인형",cat_plush,"고양이 인형",Common,일반,160,true
cat_plush_045,"줄무늬냥 기지개 인형",cat_plush,"고양이 인형",Common,일반,160,true
