model_file,product_id,stable_item_id,display_name,tint_hex
"3d+cat+baseball+model.glb",5001,"cat_plush_001","치즈냥 앉은 인형",FFFFFFFF
"3d+cat+character.glb",5002,"cat_plush_002","치즈냥 잠자는 인형",FFFFFFFF
"angelic+cat+3d+model.glb",5003,"cat_plush_003","치즈냥 식빵 인형",FFFFFFFF
"bee+cat+3d+model.glb",5004,"cat_plush_004","치즈냥 벌러덩 인형",FFFFFFFF
"black+plush+cat+3d+model.glb",5005,"cat_plush_005","치즈냥 기지개 인형",FFFFFFFF
"bunny+hooded+cat+3d+model.glb",5006,"cat_plush_006","까망냥 앉은 인형",FFFFFFFF
"calico+cat+plush+3d+model.glb",5007,"cat_plush_007","까망냥 잠자는 인형",FFFFFFFF
"cat+aviator+3d+model.glb",5008,"cat_plush_008","까망냥 식빵 인형",FFFFFFFF
"cat+chef+3d+model.glb",5009,"cat_plush_009","까망냥 벌러덩 인형",FFFFFFFF
"cat+doctor+3d+model.glb",5010,"cat_plush_010","까망냥 기지개 인형",FFFFFFFF
"cat+figurine+3d+model.glb",5011,"cat_plush_011","하양냥 앉은 인형",FFFFFFFF
"cat+mug+3d+model.glb",5012,"cat_plush_012","하양냥 잠자는 인형",FFFFFFFF
"cat+scientist+3d+model.glb",5013,"cat_plush_013","하양냥 식빵 인형",FFFFFFFF
"cat+shark+costume+3d+model.glb",5014,"cat_plush_014","하양냥 벌러덩 인형",FFFFFFFF
"cute+cat+3d+model (1).glb",5015,"cat_plush_015","하양냥 기지개 인형",FFFFFFFF
"cute+cat+3d+model (2).glb",5016,"cat_plush_016","회색냥 앉은 인형",FFFFFFFF
"cute+cat+3d+model (3).glb",5017,"cat_plush_017","회색냥 잠자는 인형",FFFFFFFF
"cute+cat+3d+model (4).glb",5018,"cat_plush_018","회색냥 식빵 인형",FFFFFFFF
"cute+cat+3d+model.glb",5019,"cat_plush_019","회색냥 벌러덩 인형",FFFFFFFF
"cute+royal+cat+3d+model.glb",5020,"cat_plush_020","회색냥 기지개 인형",FFFFFFFF
"detective+cat+3d+model.glb",5021,"cat_plush_021","삼색냥 앉은 인형",FFFFFFFF
"dinosaur+costume+character+3d+model.glb",5022,"cat_plush_022","삼색냥 잠자는 인형",FFFFFFFF
"firefighter+cat+3d+model.glb",5023,"cat_plush_023","삼색냥 식빵 인형",FFFFFFFF
"fishing+cat+3d+model.glb",5024,"cat_plush_024","삼색냥 벌러덩 인형",FFFFFFFF
"frog+costume+3d+model.glb",5025,"cat_plush_025","삼색냥 기지개 인형",FFFFFFFF
"gray+plush+cat+3d+model.glb",5026,"cat_plush_026","턱시도냥 앉은 인형",FFFFFFFF
"kawaii+cat+3d+model.glb",5027,"cat_plush_027","턱시도냥 잠자는 인형",FFFFFFFF
"knight+cat+3d+model.glb",5028,"cat_plush_028","턱시도냥 식빵 인형",FFFFFFFF
"ladybug+costume+cat+3d+model.glb",5029,"cat_plush_029","턱시도냥 벌러덩 인형",FFFFFFFF
"low-poly+cat+3d+model (1).glb",5030,"cat_plush_030","턱시도냥 기지개 인형",FFFFFFFF
"low-poly+cat+3d+model (2).glb",5031,"cat_plush_031","샴냥 앉은 인형",FFFFFFFF
"low-poly+cat+3d+model.glb",5032,"cat_plush_032","샴냥 잠자는 인형",FFFFFFFF
"ninja+cat+3d+model.glb",5033,"cat_plush_033","샴냥 식빵 인형",FFFFFFFF
"orange+blob+creature+3d+model.glb",5034,"cat_plush_034","샴냥 벌러덩 인형",FFFFFFFF
"orange+cat+3d+model.glb",5035,"cat_plush_035","샴냥 기지개 인형",FFFFFFFF
"orange+plush+cat+3d+model.glb",5036,"cat_plush_036","블루냥 앉은 인형",FFFFFFFF
"panda+3d+model.glb",5037,"cat_plush_037","블루냥 잠자는 인형",FFFFFFFF
"panda+character+3d+model.glb",5038,"cat_plush_038","블루냥 식빵 인형",FFFFFFFF
"panda+plush+3d+model.glb",5039,"cat_plush_039","블루냥 벌러덩 인형",FFFFFFFF
